id,keyword,volume,position,estimated_visits,cpc,paid_difficulty,seo_difficulty,ranking_url,city,state,country,region,url_location,area,category,business_category,product_category,source,url_keyword,unknown_col,remaining_url_keywords,priority
1,restaurants near me,16600000,4,7569600,$0.16,6,49,https://www.zomato.com/restaurants-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,me,,,1
2,fb,16600000,16,71380,$0.01,1,75,https://www.zomato.com/chennai/fb-cakes-ramapuram,Chennai,,,,Chennai,,,,,zomato.com,fb,,cakes ramapuram,1
3,hotels near me,9140000,57,23310,$0.17,16,76,https://www.zomato.com/mumbai/krishna-hotel-near-andheri-east-station,Mumbai,,,,Mumbai,Andheri,Hotel,Accommodation,Accommodation,zomato.com,,,krishna station,1
4,yt,9140000,12,125430,$0.01,1,60,https://www.zomato.com/kolkata/yt-restaurant-dum-dum,Kolkata,,,,Kolkata,,Restaurant,Food & Dining,Food & Dining,zomato.com,yt,,dum dum,1
5,restaurants,11100000,4,2778560,$0.29,2,61,https://www.zomato.com/bangalore/restaurants,Bengaluru,,,,Bengaluru,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,bangalore,1
6,restaurant,11100000,10,308932,$0.22,1,53,https://www.zomato.com/mumbai/restaurants,Mumbai,,,,Mumbai,,Restaurant,Food & Dining,Food & Dining,zomato.com,,,,1
7,desi tales,2740000,4,180566,$0,1,28,https://www.zomato.com/amritsar/desi-tales-1-gndu-area/menu,Amritsar,,,,Amritsar,,,,,zomato.com,desi tales,,gndu area menu,1
8,temp,2240000,9,41100,$0.43,1,60,https://www.zomato.com/chennai/temp-fried-chicken-nungambakkam,Chennai,,,,Chennai,,,,,zomato.com,temp,,fried chicken nungambakkam,1
9,mcdonald's,2740000,14,41100,$0.19,5,62,https://www.zomato.com/bangalore/mcdonalds-bannerghatta-road-bangalore,Bengaluru,,,,Bengaluru,,,,,zomato.com,,,bangalore mcdonalds bannerghatta road bangalore,1
10,wine shop near me,2740000,11,70144,$0,1,34,https://www.zomato.com/kolkata/restaurants/dish-wine,Kolkata,,,,Kolkata,,Restaurant,Food & Dining,Food & Dining,zomato.com,wine,,dish,1
11,kfc,2240000,13,57344,$0.17,4,62,https://www.zomato.com/ncr/restaurants/kfc?category=1,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,kfc,,ncr,1
12,cafe near me,2240000,4,680960,$0.13,11,60,https://www.zomato.com/cafes-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,me,,,1
13,cafes near me,2240000,4,680960,$0.21,12,46,https://www.zomato.com/cafes-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,me,,,1
14,zomato,1830000,1,556320,$0.05,5,78,https://www.zomato.com/,,,,,,,,,,zomato.com,,,,1
15,hd hub,1830000,6,61854,$0.45,1,47,https://www.zomato.com/jaipur/hd-hub-mansarovar/menu,Jaipur,,,,Jaipur,,,,,zomato.com,hd hub,,mansarovar menu,1
16,majestic,1500000,23,7869,$0,4,62,https://www.zomato.com/bangalore/majestic-restaurants,Bengaluru,,,,Bengaluru,,Restaurant,Food & Dining,Food & Dining,zomato.com,majestic,,bangalore,1
17,starbucks,1220000,16,13650,$0.98,4,62,https://www.zomato.com/mumbai/starbucks-coffee-chowpatty/order,Mumbai,,,,Mumbai,,,,,zomato.com,starbucks,,coffee chowpatty order,1
18,coffee shops near me,823000,4,456000,$0.33,2,22,https://www.zomato.com/cafes-near-me,,,,,,,Restaurant,Food & Dining,Food & Dining,zomato.com,me,,,1
